path	author	title	year	place	edition	gender	genre	source	PD_reason
public_domain/yazgy-nukola.txt	Ансар Нуретдинов	«Яҙғы Никола» гөрләтте Кама буйын	2016	Краснокама районы	«Башҡортостан» гәзите	m	статья	https://wikisource.org/wiki/%C2%AB%D0%AF%D2%99%D2%93%D1%8B_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%C2%BB_%D0%B3%D3%A9%D1%80%D0%BB%D3%99%D1%82%D1%82%D0%B5_%D0%9A%D0%B0%D0%BC%D0%B0_%D0%B1%D1%83%D0%B9%D1%8B%D0%BD	OTRS, ticket 2016030810020455
public_domain/bez_mesetle.txt	Рөстәм Нурыев	«Беҙ Мәсетле!» йырының тарихы	2014	Өфө	«Башҡортостан» гәзите	m	статья	https://wikisource.org/wiki/%C2%AB%D0%91%D0%B5%D2%99_%D0%9C%D3%99%D1%81%D0%B5%D1%82%D0%BB%D0%B5!%C2%BB_%D0%B9%D1%8B%D1%80%D1%8B%D0%BD%D1%8B%D2%A3_%D1%82%D0%B0%D1%80%D0%B8%D1%85%D1%8B._%D0%A0%D3%A9%D1%81%D1%82%D3%99%D0%BC_%D0%9D%D1%83%D1%80%D1%8B%D0%B5%D0%B2.	OTRS, ticket 2017103110002568
public_domain/constitution.txt		Башҡортостан Республикаһы Конституцияһы	2000-2014	Өфө			закон		Текст закона
public_domain/salavat_kyzy.txt	Ансар Нуретдинов	Салауат ҡыҙы	2017	Салауат районы	«Башҡортостан» гәзите	m	статья	https://wikisource.org/wiki/%D0%A1%D0%B0%D0%BB%D0%B0%D1%83%D0%B0%D1%82_%D2%A1%D1%8B%D2%99%D1%8B	OTRS, ticket 2016030810020455 
public_domain/karnay_urmanda.txt	Али Карнай	Урманда	1928	Өфө				https://wikisource.org/wiki/%D0%A3%D1%80%D0%BC%D0%B0%D0%BD%D0%B4%D0%B0._%D0%90%D0%BB%D0%B8_%D0%9A%D0%B0%D1%80%D0%BD%D0%B0%D0%B9	public domain
